"Object Count","Layer Name","Object Name","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"334","Layer 01","","point","116.3804931640625,-23.52697563171387,-21.19769859313965"
"335","Layer 01","","point","117.5580368041992,-19.76499557495117,-18.19769859313965"
"336","Layer 01","","point","115.0221633911133,-37.01657867431641,-21.19769859313965"
"337","Layer 01","","point","-45.3664436340332,94.79317474365234,-18.19769859313965"
"338","Layer 01","","point","-42.94987487792969,95.57836151123047,-18.19769859313965"
"339","Layer 01","","point","-46.04132080078125,96.59821319580078,-10.88504791259766"
"340","Layer 01","","point","-37.26499557495117,97.42549133300781,-18.19769859313965"
"341","Layer 01","","point","-35.34782028198242,98.04841613769531,-18.19769859313965"
"342","Layer 01","","point","-35.86281204223633,99.90541076660156,-10.88504791259766"
"343","Layer 01","","point","-46.04132080078125,96.59821319580078,-10.88504791259766"
"344","Layer 01","","point","-42.94987487792969,95.57836151123047,-18.19769859313965"
"345","Layer 01","","point","-35.86281204223633,99.90541076660156,-10.88504791259766"
"346","Layer 01","","point","-103.7712783813477,48.33586883544922,-18.19769859313965"
"347","Layer 01","","point","-102.9236755371094,49.50248718261719,-18.19769859313965"
"348","Layer 01","","point","-105.9987640380859,49.81020355224609,-3.197698593139648"
"349","Layer 01","","point","-98.05637359619141,56.20175170898438,-18.19769859313965"
"350","Layer 01","","point","-97.57942962646484,56.85821533203125,-18.19769859313965"
"351","Layer 01","","point","-99.66994476318359,58.52108001708984,-3.197698593139648"
"352","Layer 01","","point","-105.9987640380859,49.81020355224609,-3.197698593139648"
"353","Layer 01","","point","-102.9236755371094,49.50248718261719,-18.19769859313965"
"354","Layer 01","","point","-99.66994476318359,58.52108001708984,-3.197698593139648"
